,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Rank,Player Name,Pos rank,Team,Bye,Pass yards,Pass TD,Int,Rush Yards,Rush TD,Receptions,Receicing Yards,Receiving TD,Fantasy Points,Value
,,,100,Dallas Goedert,TE5,PHI,10,0,0,0,0,0,56,679,4.2,120.9,30.5
,,,101,Zach Charbonnet,RB42,SEA,5,0,0,0,569,3.7,25,179,0.3,111.4,30.4
,,,102,Marquise Brown,WR39,ARI,14,0,0,0,0,0,68,774,3.7,133.5,30.1
,,,103,Aaron Rodgers,QB17,NYJ,7,3942,27,11,67,1.8,0,0,0,272.1,29
,,,103,Kyle Pitts,TE6,ATL,11,0,0,0,0,0,55,666,4.2,119.2,29
,,,105,Chigoziem Okonkwo,TE7,TEN,7,0,0,0,11,0.1,55,673,3.6,118.2,28.1
,,,106,Rashod Bateman,WR40,BAL,13,0,0,0,11,0.1,55,711,4.8,129.1,25.7
,,,107,Jaylen Warren,RB43,PIT,6,0,0,0,433,2.6,32,244,1.2,106.3,25.3
,,,108,Devin Singletary,RB44,HOU,7,0,0,0,447,2.1,34,261,0.9,105.8,24.8
,,,109,Darren Waller,TE8,NYG,13,0,0,0,0,0,59,622,3.8,114.2,24.5
,,,110,Evan Engram,TE9,JAC,9,0,0,0,0,0,59,659,3.1,113.9,24.2
,,,111,Pat Freiermuth,TE10,PIT,6,0,0,0,0,0,57,611,3.9,112.9,23.3
,,,112,Diontae Johnson,WR41,PIT,6,0,0,0,26,0.2,64,707,3.3,126.5,23.1
,,,113,Jamaal Williams,RB45,NO,11,0,0,0,568,4.3,15,106,0.5,103.8,22.8
,,,114,JuJu Smith-Schuster,WR42,NE,11,0,0,0,0,0,62,688,4.4,126,22.6
,,,115,David Njoku,TE11,CLE,5,0,0,0,0,0,56,555,4.6,111.2,21.8
,,,116,Dalton Schultz,TE12,HOU,7,0,0,0,0,0,54,615,3.7,110.9,21.5
,,,117,Jahan Dotson,WR43,WAS,14,0,0,0,8,0.1,59,677,4.3,124.3,20.9
,,,118,Bryce Young,QB18,CAR,7,3602,21.2,13.7,286,2.8,0,0,0,260.5,19.7
,,,119,Quentin Johnston,WR44,LAC,5,0,0,0,21,0.1,57,683,3.8,122.1,18.7
,,,120,Russell Wilson,QB19,DEN,9,3643,20.8,14.1,245,2.6,0,0,0,254.9,15.2
,,,121,Allen Lazard,WR45,NYJ,7,0,0,0,4,0,50,676,4.2,118.2,14.8
,,,122,Cole Kmet,TE13,CHI,13,0,0,0,5,0,47,529,4.3,102.8,14.3
,,,123,Greg Dulcich,TE14,DEN,9,0,0,0,0,0,51,563,3.4,102.2,13.7
,,,124,Derek Carr,QB20,NO,11,3851,23.7,12.5,86,1.3,0,0,0,252.7,13.5
,,,124,Brandin Cooks,WR46,DAL,7,0,0,0,14,0.2,52,626,4.3,116.9,13.5
,,,126,Raheem Mostert,RB46,MIA,10,0,0,0,511,4.2,11,89,0.6,94.2,13.2
,,,126,Courtland Sutton,WR47,DEN,9,0,0,0,18,0,52,637,4.2,116.6,13.2
,,,126,Jameson Williams,WR47,DET,9,0,0,0,15,0.1,46,666,4.2,116.6,13.2
,,,129,Kenny Pickett,QB21,PIT,6,3683,19.1,13.7,258,2.7,0,0,0,252,12.9
,,,130,Jakobi Meyers,WR49,LV,13,0,0,0,20,0.1,58,671,2.9,116,12.6
,,,131,Nico Collins,WR50,HOU,7,0,0,0,7,0,52,685,3.4,115.4,12
,,,132,Skyy Moore,WR51,KC,10,0,0,0,17,0.3,50,636,3.8,115.1,11.7
,,,133,Juwan Johnson,TE15,NO,11,0,0,0,6,0.1,41,491,4.8,99.8,11.6
,,,134,Dalton Kincaid,TE16,BUF,13,0,0,0,0,0,45,516,4.3,99.7,11.5
